Team1,Team2,Winner,T1,T2,W,Combo,Margin,City,Home advantage,Date,Season,Toss,Decision,MoM,Match,Round,Bat First,First Score,Bat Second,Second Score,Venue,MatchURL
RCB,KKR,KKR,RCB,KKR,KKR,RCBKKR,140 runs,Bengaluru,RCB,18-Apr-08,2008,RCB,Bowl,Brendon McCullum,1st match (N),League,KKR,223/8,RCB,82 (15.1/20 ov),"M.Chinnaswamy Stadium, Bengaluru",http://stats.espncricinfo.com/ci/engine/match/335982.html
Kings XI,Super Kings,Super Kings,KXI,CSK,CSK,KXICSK,33 runs,Mohali,KXI,19-Apr-08,2008,CSK,Bat,Michael Hussey,2nd match (D/N),League,CSK,240/5,KXI,207/4 (20 ov),"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",http://stats.espncricinfo.com/ci/engine/match/335983.html
Daredevils,Royals,Daredevils,DD,RR,DD,DDRR,9 wickets,Delhi,DD,19-Apr-08,2008,RR,Bat,Farveez Maharoof,3rd match (N),League,RR,129/8,DD,132/1 (15.1/20 ov),"Arun Jaitley Stadium, Delhi",http://stats.espncricinfo.com/ci/engine/match/335984.html
KKR,Chargers,KKR,KKR,DEC,KKR,KKRDEC,5 wickets,Kolkata,KKR,20-Apr-08,2008,DEC,Bat,David Hussey,4th match (D/N),League,DEC,110,KKR,112/5 (19/20 ov),"Eden Gardens, Kolkata",http://stats.espncricinfo.com/ci/engine/match/335986.html
Mum Indians,RCB,RCB,MI,RCB,RCB,MIRCB,5 wickets,Mumbai,MI,20-Apr-08,2008,MI,Bat,Mark Boucher,5th match (N),League,MI,165/6,RCB,166/5 (19.4/20 ov),"Wankhede Stadium, Mumbai",http://stats.espncricinfo.com/ci/engine/match/335985.html
Royals,Kings XI,Royals,RR,KXI,RR,RRKXI,6 wickets,Jaipur,RR,21-Apr-08,2008,KXI,Bat,Shane Watson,6th match (N),League,KXI,166/8,RR,168/4 (18.1/20 ov),"Sawai Mansingh Stadium, Jaipur",http://stats.espncricinfo.com/ci/engine/match/335987.html
Chargers,Daredevils,Daredevils,DEC,DD,DD,DECDD,9 wickets,Hyderabad (Deccan),N,22-Apr-08,2008,DEC,Bat,Virender Sehwag,7th match (N),League,DEC,142/8,DD,143/1 (13/20 ov),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",http://stats.espncricinfo.com/ci/engine/match/335988.html
Super Kings,Mum Indians,Super Kings,CSK,MI,CSK,CSKMI,6 runs,Chennai,CSK,23-Apr-08,2008,MI,Bowl,Matthew Hayden,8th match (N),League,CSK,208/5,MI,202/7 (20 ov),"MA Chidambaram Stadium, Chepauk, Chennai",http://stats.espncricinfo.com/ci/engine/match/335989.html
Chargers,Royals,Royals,DEC,RR,RR,DECRR,3 wickets,Hyderabad (Deccan),N,24-Apr-08,2008,RR,Bowl,Yusuf Pathan,9th match (N),League,DEC,214/5,RR,217/7 (19.5/20 ov),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",http://stats.espncricinfo.com/ci/engine/match/335990.html
Kings XI,Mum Indians,Kings XI,KXI,MI,KXI,KXIMI,66 runs,Mohali,KXI,25-Apr-08,2008,MI,Bowl,Kumar Sangakkara,10th match (N),League,KXI,182,MI,116/9 (20 ov),"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",http://stats.espncricinfo.com/ci/engine/match/335991.html
Super Kings,KKR,Super Kings,CSK,KKR,CSK,CSKKKR,9 wickets,Chennai,CSK,26-Apr-08,2008,KKR,Bat,Jacob Oram,11th match (D/N),League,KKR,147/9,CSK,152/1 (17/20 ov),"MA Chidambaram Stadium, Chepauk, Chennai",http://stats.espncricinfo.com/ci/engine/match/335993.html
RCB,Royals,Royals,RCB,RR,RR,RCBRR,7 wickets,Bengaluru,RCB,26-Apr-08,2008,RR,Bowl,Shane Watson,12th match (N),League,RCB,135/8,RR,138/3 (17.1/20 ov),"M.Chinnaswamy Stadium, Bengaluru",http://stats.espncricinfo.com/ci/engine/match/335992.html
Kings XI,Daredevils,Kings XI,KXI,DD,KXI,KXIDD,4 wickets,Mohali,KXI,27-Apr-08,2008,DD,Bat,Simon Katich,13th match (D/N),League,DD,158/8,KXI,162/6 (19.3/20 ov),"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",http://stats.espncricinfo.com/ci/engine/match/335995.html
Mum Indians,Chargers,Chargers,MI,DEC,DEC,MIDEC,10 wickets,Mumbai,MI,27-Apr-08,2008,DEC,Bowl,Adam Gilchrist,14th match (N),League,MI,154/7,DEC,155/0 (12/20 ov),"Dr DY Patil Sports Academy, Mumbai",http://stats.espncricinfo.com/ci/engine/match/335994.html
RCB,Super Kings,Super Kings,RCB,CSK,CSK,RCBCSK,13 runs,Bengaluru,RCB,28-Apr-08,2008,CSK,Bat,MS Dhoni,15th match (N),League,CSK,178/5,RCB,165 (19.4/20 ov),"M.Chinnaswamy Stadium, Bengaluru",http://stats.espncricinfo.com/ci/engine/match/335996.html
KKR,Mum Indians,Mum Indians,KKR,MI,MI,KKRMI,7 wickets,Kolkata,KKR,29-Apr-08,2008,KKR,Bat,Sanath Jayasuriya,16th match (N),League,KKR,137/8,MI,138/3 (18.4/20 ov),"Eden Gardens, Kolkata",http://stats.espncricinfo.com/ci/engine/match/335997.html
Daredevils,RCB,Daredevils,DD,RCB,DD,DDRCB,10 runs,Delhi,DD,30-Apr-08,2008,RCB,Bowl,Glenn McGrath,17th match (N),League,DD,191/5,RCB,181/5 (20 ov),"Arun Jaitley Stadium, Delhi",http://stats.espncricinfo.com/ci/engine/match/335998.html
Royals,KKR,Royals,RR,KKR,RR,RRKKR,45 runs,Jaipur,RR,1-May-08,2008,RR,Bat,Swapnil Asnodkar,18th match (D/N),League,RR,196/7,KKR,151 (19.1/20 ov),"Sawai Mansingh Stadium, Jaipur",http://stats.espncricinfo.com/ci/engine/match/336000.html
Chargers,Kings XI,Kings XI,DEC,KXI,KXI,DECKXI,7 wickets,Hyderabad (Deccan),N,1-May-08,2008,KXI,Bowl,Shaun Marsh,19th match (N),League,DEC,164/8,KXI,167/3 (18.5/20 ov),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",http://stats.espncricinfo.com/ci/engine/match/335999.html
Super Kings,Daredevils,Daredevils,CSK,DD,DD,CSKDD,8 wickets,Chennai,CSK,2-May-08,2008,CSK,Bat,Virender Sehwag,20th match (N),League,CSK,169/6,DD,172/2 (19/20 ov),"MA Chidambaram Stadium, Chepauk, Chennai",http://stats.espncricinfo.com/ci/engine/match/336001.html
RCB,Chargers,RCB,RCB,DEC,RCB,RCBDEC,3 runs,Bengaluru,RCB,3-May-08,2008,DEC,Bowl,Praveen Kumar,21st match (D/N),League,RCB,156/8,DEC,153/6 (20 ov),"M.Chinnaswamy Stadium, Bengaluru",http://stats.espncricinfo.com/ci/engine/match/336034.html
Kings XI,KKR,Kings XI,KXI,KKR,KXI,KXIKKR,9 runs,Mohali,KXI,3-May-08,2008,KXI,Bat,Irfan Pathan,22nd match (N),League,KXI,178/6,KKR,169/6 (20 ov),"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",http://stats.espncricinfo.com/ci/engine/match/336003.html
Mum Indians,Daredevils,Mum Indians,MI,DD,MI,MIDD,29 runs,Mumbai,MI,4-May-08,2008,DD,Bowl,Shaun Pollock,23rd match (D/N),League,MI,162/8,DD,133 (18.5/20 ov),"Dr DY Patil Sports Academy, Mumbai",http://stats.espncricinfo.com/ci/engine/match/336004.html
Royals,Super Kings,Royals,RR,CSK,RR,RRCSK,8 wickets,Jaipur,RR,4-May-08,2008,CSK,Bat,Sohail Tanvir,24th match (N),League,CSK,109,RR,110/2 (14.2/20 ov),"Sawai Mansingh Stadium, Jaipur",http://stats.espncricinfo.com/ci/engine/match/336005.html
RCB,Kings XI,Kings XI,RCB,KXI,KXI,RCBKXI,6 wickets,Bengaluru,RCB,5-May-08,2008,KXI,Bowl,Sreesanth,25th match (N),League,RCB,126,KXI,127/4 (18.2/20 ov),"M.Chinnaswamy Stadium, Bengaluru",http://stats.espncricinfo.com/ci/engine/match/336006.html
Super Kings,Chargers,Chargers,CSK,DEC,DEC,CSKDEC,7 wickets,Chennai,CSK,6-May-08,2008,DEC,Bowl,Adam Gilchrist,26th match (N),League,CSK,144/7,DEC,148/3 (18/20 ov),"MA Chidambaram Stadium, Chepauk, Chennai",http://stats.espncricinfo.com/ci/engine/match/336007.html
Mum Indians,Royals,Mum Indians,MI,RR,MI,MIRR,7 wickets,Mumbai,MI,7-May-08,2008,MI,Bowl,Ashish Nehra,27th match (N),League,RR,103,MI,104/3 (15.1/20 ov),"Dr DY Patil Sports Academy, Mumbai",http://stats.espncricinfo.com/ci/engine/match/336008.html
Daredevils,Super Kings,Super Kings,DD,CSK,CSK,DDCSK,4 wickets,Delhi,DD,8-May-08,2008,CSK,Bowl,MS Dhoni,28th match (D/N),League,DD,187/5,CSK,188/6 (20 ov),"Arun Jaitley Stadium, Delhi",http://stats.espncricinfo.com/ci/engine/match/336009.html
KKR,RCB,KKR,KKR,RCB,KKR,KKRRCB,5 runs,Kolkata,KKR,8-May-08,2008,KKR,Bat,Sourav Ganguly,29th match (N),League,KKR,129/7 (16/16 ov),RCB,"124/4 (16/16 ov, target 130)","Eden Gardens, Kolkata",http://stats.espncricinfo.com/ci/engine/match/336010.html
Royals,Chargers,Royals,RR,DEC,RR,RRDEC,8 wickets,Jaipur,RR,9-May-08,2008,RR,Bowl,Yusuf Pathan,30th match (N),League,DEC,140/8,RR,141/2 (16/20 ov),"Sawai Mansingh Stadium, Jaipur",http://stats.espncricinfo.com/ci/engine/match/336011.html
Super Kings,Kings XI,Super Kings,CSK,KXI,CSK,CSKKXI,18 runs,Chennai,CSK,10-May-08,2008,KXI,Bowl,Lakshmipathy Balaji,31st match (N),League,CSK,181/4,KXI,163/9 (20 ov),"MA Chidambaram Stadium, Chepauk, Chennai",http://stats.espncricinfo.com/ci/engine/match/336013.html
Chargers,KKR,KKR,DEC,KKR,KKR,DECKKR,23 runs,Hyderabad (Deccan),N,11-May-08,2008,KKR,Bat,Sourav Ganguly,32nd match (D/N),League,KKR,204/4,DEC,181/7 (20 ov),"Rajiv Gandhi International Stadium, Uppal, Hyderabad",http://stats.espncricinfo.com/ci/engine/match/336014.html
Royals,Daredevils,Royals,RR,DD,RR,RRDD,3 wickets,Jaipur,RR,11-May-08,2008,RR,Bowl,Shane Watson,33rd match (N),League,DD,156/7,RR,159/7 (19.1/20 ov),"Sawai Mansingh Stadium, Jaipur",http://stats.espncricinfo.com/ci/engine/match/336015.html
